Condition	Species	riboCIRC_ID	Genome_assembly	Genome_pos	Strand	Spliced_length	Transcript	Symbol	Ensembl	Dataset_count	Evidences	Other_ids
Condition-independent	Human	hsa_circSCLT1_001	hg38	chr4:128992166-129003876	-	396	NM_144643	SCLT1	ENSG00000151466	1	3: RPF,cORF,m6A	circAtlas:hsa-SCLT1_0002,circBank:hsa_circSCLT1_010,circBase:hsa_circ_0001439,CIRCpedia:HSA_CIRCpedia_47439,circRNADb:hsa_circ_23944,CSCD:chr4:128992166-129003876,exoRBase:exo_circ_000022
Condition-independent	Human	hsa_circSCLT1_002	hg38	chr4:129039040-129082373	-	256	NM_001300898	SCLT1	ENSG00000151466	3	3: RPF,cORF,m6A	circAtlas:hsa-SCLT1_0022,CIRCpedia:HSA_CIRCpedia_47443,CSCD:chr4:129039040-129082373,exoRBase:exo_circ_016091
Condition-independent	Human	hsa_circELF2_001	hg38	chr4:139060323-139073567	-	919	NM_001276457	ELF2	ENSG00000109381	1	2: RPF,cORF	circAtlas:hsa-ELF2_0019,circBank:hsa_circELF2_021,circBase:hsa_circ_0007137,CIRCpedia:HSA_CIRCpedia_47465,circRNADb:hsa_circ_01128,CSCD:chr4:139060323-139073567,exoRBase:exo_circ_012307
Condition-independent	Human	hsa_circUSP38_001	hg38	chr4:143204416-143206226	+	310	NM_001290326	USP38	ENSG00000170185	12	3: RPF,cORF,MS	CSCD:chr4:143204416-143206226
Condition-independent	Human	hsa_circUSP38_002	hg38	chr4:143204416-143209657	+	404	NM_001290326	USP38	ENSG00000170185	4	2: RPF,cORF	circAtlas:hsa-USP38_0014
Condition-independent	Human	hsa_circSMARCA5_001	hg38	chr4:143543508-143543972	+	269	NM_003601	SMARCA5	ENSG00000153147	8	3: RPF,cORF,m6A	circAtlas:hsa-SMARCA5_0005,circBank:hsa_circSMARCA5_013,circBase:hsa_circ_0001445,CIRCpedia:HSA_CIRCpedia_47541,circRNADb:hsa_circ_06025,CSCD:chr4:143543508-143543972,exoRBase:exo_circ_000006
Condition-independent	Human	hsa_circSMAD1_001	hg38	chr4:145514437-145515013	+	576	NM_001354816	SMAD1	ENSG00000170365	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-SMAD1_0001,circBank:hsa_circSMAD1_002,circBase:hsa_circ_0007970,CIRCpedia:HSA_CIRCpedia_47563,circRNADb:hsa_circ_26682,CSCD:chr4:145514437-145515013,exoRBase:exo_circ_029933
Condition-independent	Human	hsa_circZNF827_001	hg38	chr4:145845955-145849561	-	298	NM_001306215	ZNF827	ENSG00000151612	1	3: RPF,cORF,m6A	circAtlas:hsa-ZNF827_0002,circBank:hsa_circZNF827_018,circBase:hsa_circ_0003187,CIRCpedia:HSA_CIRCpedia_47571,circRNADb:hsa_circ_30398,CSCD:chr4:145845955-145849561,exoRBase:exo_circ_011870
Condition-independent	Human	hsa_circZNF827_002	hg38	chr4:145902165-145903215	-	1050	NM_001306215	ZNF827	ENSG00000151612	1	3: RPF,cORF,m6A	circAtlas:hsa-ZNF827_0017,circBank:hsa_circZNF827_003,circBase:hsa_circ_0006204,CIRCpedia:HSA_CIRCpedia_47581,circRNADb:hsa_circ_09528,CSCD:chr4:145902165-145903215,exoRBase:exo_circ_035354
Condition-independent	Human	hsa_circARHGAP10_001	hg38	chr4:147857552-147881932	+	650	NM_024605	ARHGAP10	ENSG00000071205	5	4: RPF,cORF,MS,m6A	circAtlas:hsa-ARHGAP10_0003,circBank:hsa_circARHGAP10_013,circBase:hsa_circ_0071106,CIRCpedia:HSA_CIRCpedia_47599,circRNADb:hsa_circ_22838,CSCD:chr4:147857552-147881932,exoRBase:exo_circ_000451
Condition-independent	Human	hsa_circARHGAP10_002	hg38	chr4:147939824-147955374	+	222	NM_024605	ARHGAP10	ENSG00000071205	1	2: RPF,cORF	circAtlas:hsa-ARHGAP10_0005,circBank:hsa_circARHGAP10_033,circBase:hsa_circ_0001449,CIRCpedia:HSA_CIRCpedia_47614,circRNADb:hsa_circ_24658,CSCD:chr4:147939824-147955374
Condition-independent	Human	hsa_circLRBA_001	hg38	chr4:150282449-150325898	-	969	NM_001367550	LRBA	ENSG00000198589	3	3: RPF,cORF,m6A	circAtlas:hsa-LRBA_0178,CIRCpedia:HSA_CIRCpedia_137812,CSCD:chr4:150282449-150325898
Condition-independent	Human	hsa_circLRBA_002	hg38	chr4:150761782-150808398	-	340	NM_001367550	LRBA	ENSG00000198589	1	2: RPF,cORF	circAtlas:hsa-LRBA_0014,circBank:hsa_circLRBA_104,circBase:hsa_circ_0071185,CIRCpedia:HSA_CIRCpedia_47682,circRNADb:hsa_circ_24386,CSCD:chr4:150761782-150808398
Condition-independent	Human	hsa_circLRBA_003	hg38	chr4:150798080-150817257	-	409	NM_001367550	LRBA	ENSG00000198589	1	3: RPF,cORF,MS	circAtlas:hsa-LRBA_0051,circBank:hsa_circLRBA_098,circBase:hsa_circ_0008618,CIRCpedia:HSA_CIRCpedia_47690,circRNADb:hsa_circ_09338,CSCD:chr4:150798080-150817257,exoRBase:exo_circ_000145
Condition-independent	Human	hsa_circFBXW7_001	hg38	chr4:152411302-152412529	-	620	NM_001349798	FBXW7	ENSG00000109670	2	4: RPF,cORF,m6A,IRES	Circ2Disease:hsa_circ_001988,circAtlas:hsa-FBXW7_0005,circBank:hsa_circFBXW7_009,circBase:hsa_circ_0001451,CIRCpedia:HSA_CIRCpedia_47769,circRNADb:hsa_circ_16502,CSCD:chr4:152411302-152412529
Condition-independent	Human	hsa_circTRIM2_001	hg38	chr4:153270337-153276130	+	420	NM_001351055	TRIM2	ENSG00000109654	1	2: RPF,cORF	circAtlas:hsa-TRIM2_0009,circBank:hsa_circTRIM2_008,circBase:hsa_circ_0125550,CIRCpedia:HSA_CIRCpedia_47780,CSCD:chr4:153270337-153276130,exoRBase:exo_circ_019802
Condition-independent	Human	hsa_circTMEM131L_001	hg38	chr4:153550072-153558368	+	421	NM_001131007	TMEM131L	ENSG00000121210	1	2: RPF,cORF	circAtlas:hsa-KIAA0922_0005,circBank:hsa_circKIAA0922_003,circBase:hsa_circ_0071298,CIRCpedia:HSA_CIRCpedia_47791,circRNADb:hsa_circ_18027,CSCD:chr4:153550072-153558368,exoRBase:exo_circ_029936
Condition-independent	Human	hsa_circGUCY1B1_001	hg38	chr4:155774967-155777642	+	220	NM_001291954	GUCY1B1	ENSG00000061918	1	3: RPF,cORF,MS	circAtlas:hsa-GUCY1B3_0001,circBank:hsa_circGUCY1B3_003,circBase:hsa_circ_0125610,CIRCpedia:HSA_CIRCpedia_103701,CSCD:chr4:155774967-155777642,exoRBase:exo_circ_006520
Condition-independent	Human	hsa_circRAPGEF2_001	hg38	chr4:159186641-159210583	+	212	NM_001351724	RAPGEF2	ENSG00000109756	1	3: RPF,cORF,MS	circAtlas:hsa-RAPGEF2_0004,circBank:hsa_circ_chr4_00028,circBase:hsa_circ_0125668,CIRCpedia:HSA_CIRCpedia_47841,exoRBase:exo_circ_001648
Condition-independent	Human	hsa_circFSTL5_001	hg38	chr4:161759410-161776074	-	318	NM_001128428	FSTL5	ENSG00000168843	1	3: RPF,cORF,MS	circAtlas:hsa-FSTL5_0003,circBank:hsa_circFSTL5_002,circBase:hsa_circ_0125688,CIRCpedia:HSA_CIRCpedia_47859,circRNADb:hsa_circ_25511,CSCD:chr4:161759410-161776074
Condition-independent	Human	hsa_circPALLD_001	hg38	chr4:168668189-168711923	+	1056	NM_001166108	PALLD	ENSG00000129116	1	3: RPF,cORF,m6A	circAtlas:hsa-PALLD_0004,CIRCpedia:HSA_CIRCpedia_47901,CSCD:chr4:168668189-168711923
Condition-independent	Human	hsa_circGALNT7_001	hg38	chr4:173247979-173248440	+	461	NM_017423	GALNT7	ENSG00000109586	1	3: RPF,cORF,m6A	circAtlas:hsa-GALNT7_0001,circBank:hsa_circGALNT7_003,circBase:hsa_circ_0001458,CIRCpedia:HSA_CIRCpedia_47960,circRNADb:hsa_circ_24882,CSCD:chr4:173247979-173248440,exoRBase:exo_circ_017679
Condition-independent	Human	hsa_circNEIL3_001	hg38	chr4:177353307-177353728	+	421	NM_018248	NEIL3	ENSG00000109674	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-NEIL3_0002,circBank:hsa_circNEIL3_010,circBase:hsa_circ_0001459,CIRCpedia:HSA_CIRCpedia_47993,circRNADb:hsa_circ_07536,exoRBase:exo_circ_000108
Condition-independent	Human	hsa_circFAT1_001	hg38	chr4:186706562-186709845	-	3283	NM_005245	FAT1	ENSG00000083857	3	4: RPF,cORF,MS,m6A	circAtlas:hsa-FAT1_0005,circBank:hsa_circFAT1_004,circBase:hsa_circ_0001461,CIRCpedia:HSA_CIRCpedia_48150,circRNADb:hsa_circ_25951,CSCD:chr4:186706562-186709845,exoRBase:exo_circ_014103
Condition-independent	Human	hsa_circFRG1_001	hg38	chr4:189952161-189961932	+	607	NM_004477	FRG1	ENSG00000109536	1	3: RPF,cORF,MS	circRNADb:hsa_circ_21174,CSCD:chr4:189952161-189961932
Condition-independent	Human	hsa_circCEP72_001	hg38	chr5:618989-620261	+	321	NM_018140	CEP72	ENSG00000112877	2	3: RPF,cORF,MS	circAtlas:hsa-CEP72_0001,circBank:hsa_circCEP72_005,circBase:hsa_circ_0071653,CIRCpedia:HSA_CIRCpedia_52142,circRNADb:hsa_circ_22237,CSCD:chr5:618989-620261,exoRBase:exo_circ_018851
Condition-independent	Human	hsa_circLPCAT1_001	hg38	chr5:1480941-1494914	-	483	NM_024830	LPCAT1	ENSG00000153395	1	4: RPF,cORF,MS,m6A	circBank:hsa_circLPCAT1_007,circBase:hsa_circ_0071730
Condition-independent	Human	hsa_circICE1_001	hg38	chr5:5447840-5457741	+	554	NM_015325	ICE1	ENSG00000164151	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-ICE1_0004,circBank:hsa_circKIAA0947_004,circBase:hsa_circ_0071744,CIRCpedia:HSA_CIRCpedia_51934,circRNADb:hsa_circ_02260,CSCD:chr5:5447840-5457741
Condition-independent	Human	hsa_circNSUN2_001	hg38	chr5:6604137-6605408	-	356	NM_017755	NSUN2	ENSG00000037474	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-NSUN2_0003,circBank:hsa_circNSUN2_025,circBase:hsa_circ_0001466,CIRCpedia:HSA_CIRCpedia_52250,circRNADb:hsa_circ_27586,CSCD:chr5:6604137-6605408,exoRBase:exo_circ_006030
Condition-independent	Human	hsa_circTRIO_001	hg38	chr5:14290715-14316743	+	1191	NR_134469	TRIO	ENSG00000038382	1	3: RPF,cORF,m6A	circAtlas:hsa-TRIO_0031,circBank:hsa_circTRIO_030,circBase:hsa_circ_0003989,CIRCpedia:HSA_CIRCpedia_50628,circRNADb:hsa_circ_27329,CSCD:chr5:14290715-14316743,exoRBase:exo_circ_020823
Condition-independent	Human	hsa_circGUSBP1_001	hg38	chr5:21491320-21497196	+	448	NR_027028	GUSBP1	ENSG00000183666	6	3: RPF,cORF,MS	circAtlas:hsa-GUSBP1_0001,circBank:hsa_circGUSBP1_005,circBase:hsa_circ_0128780,CIRCpedia:HSA_CIRCpedia_51485,circRNADb:hsa_circ_06804
Condition-independent	Human	hsa_circGOLPH3_001	hg38	chr5:32135571-32143880	-	247	NM_022130	GOLPH3	ENSG00000113384	4	3: RPF,cORF,m6A	circAtlas:hsa-GOLPH3_0002,circBank:hsa_circGOLPH3_005,circBase:hsa_circ_0001470,CIRCpedia:HSA_CIRCpedia_51559,circRNADb:hsa_circ_14024,CSCD:chr5:32135571-32143880,exoRBase:exo_circ_000109
Condition-independent	Human	hsa_circCPLANE1_001	hg38	chr5:37243012-37247745	-	724	NM_023073	CPLANE1	ENSG00000197603	1	2: RPF,cORF	circAtlas:hsa-C5orf42_0015,circBank:hsa_circC5orf42_003,circBase:hsa_circ_0008755,CIRCpedia:HSA_CIRCpedia_51723,circRNADb:hsa_circ_30763,CSCD:chr5:37243012-37247745,exoRBase:exo_circ_023957
Condition-independent	Human	hsa_circLIFR_001	hg38	chr5:38523418-38530666	-	580	NM_001364297	LIFR	ENSG00000113594	2	2: RPF,cORF	circAtlas:hsa-LIFR_0005,circBank:hsa_circLIFR_002,circBase:hsa_circ_0072309,CIRCpedia:HSA_CIRCpedia_51796,circRNADb:hsa_circ_01687,CSCD:chr5:38523418-38530666,exoRBase:exo_circ_000633
Condition-independent	Human	hsa_circRICTOR_001	hg38	chr5:38990948-39003622	-	388	NM_001285439	RICTOR	ENSG00000164327	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-RICTOR_0018,circBank:hsa_circRICTOR_009,circBase:hsa_circ_0006157,CIRCpedia:HSA_CIRCpedia_51816,circRNADb:hsa_circ_23280,CSCD:chr5:38990948-39003622,exoRBase:exo_circ_006878
Condition-independent	Human	hsa_circRICTOR_002	hg38	chr5:39002534-39021136	-	295	NM_001285439	RICTOR	ENSG00000164327	1	2: RPF,cORF	circAtlas:hsa-RICTOR_0003,circBank:hsa_circRICTOR_004,circBase:hsa_circ_0001475,CIRCpedia:HSA_CIRCpedia_51820,circRNADb:hsa_circ_00782,CSCD:chr5:39002534-39021136,exoRBase:exo_circ_001275
Condition-independent	Human	hsa_circPRKAA1_001	hg38	chr5:40764513-40775503	-	499	NM_206907	PRKAA1	ENSG00000132356	2	2: RPF,cORF	circAtlas:hsa-PRKAA1_0010,circBank:hsa_circPRKAA1_006,circBase:hsa_circ_0072351,CIRCpedia:HSA_CIRCpedia_100980,CSCD:chr5:40764513-40775503,exoRBase:exo_circ_018098
Condition-independent	Human	hsa_circOXCT1_001	hg38	chr5:41794002-41807438	-	516	NM_001364299	OXCT1	ENSG00000083720	2	3: RPF,cORF,m6A	circAtlas:hsa-OXCT1_0007,circBank:hsa_circOXCT1_008,circBase:hsa_circ_0004873,CIRCpedia:HSA_CIRCpedia_51838,circRNADb:hsa_circ_15881,CSCD:chr5:41794002-41807438,exoRBase:exo_circ_005910
Condition-independent	Human	hsa_circOXCT1_002	hg38	chr5:41840450-41862750	-	654	NM_001364299	OXCT1	ENSG00000083720	1	2: RPF,cORF	circAtlas:hsa-OXCT1_0002,circBank:hsa_circOXCT1_004,circBase:hsa_circ_0072363,CIRCpedia:HSA_CIRCpedia_51840,CSCD:chr5:41840450-41862750
Condition-independent	Human	hsa_circHMGCS1_001	hg38	chr5:43292473-43297166	-	899	NM_001098272	HMGCS1	ENSG00000112972	2	2: RPF,cORF	Circ2Disease:hsa_circRNA_103827,circAtlas:hsa-HMGCS1_0004,circBank:hsa_circHMGCS1_016,circBase:hsa_circ_0008621,CIRCpedia:HSA_CIRCpedia_51857,circRNADb:hsa_circ_16095,CSCD:chr5:43292473-43297166,exoRBase:exo_circ_012670
Condition-independent	Human	hsa_circGPBP1_001	hg38	chr5:57230845-57231321	+	348	NM_001127236	GPBP1	ENSG00000062194	2	4: RPF,cORF,MS,m6A	circAtlas:hsa-GPBP1_0006,circBank:hsa_circGPBP1_011,circBase:hsa_circ_0001486,CIRCpedia:HSA_CIRCpedia_52015,circRNADb:hsa_circ_31283,CSCD:chr5:57230845-57231321,exoRBase:exo_circ_005947
Condition-independent	Human	hsa_circGPBP1_002	hg38	chr5:57246299-57251141	+	682	NM_001127236	GPBP1	ENSG00000062194	1	3: RPF,cORF,m6A	circAtlas:hsa-GPBP1_0005,circBank:hsa_circGPBP1_017,circBase:hsa_circ_0072547,CIRCpedia:HSA_CIRCpedia_52024,circRNADb:hsa_circ_03597
Condition-independent	Human	hsa_circPDE4D_001	hg38	chr5:58988492-58993465	-	631	NM_001197220	PDE4D	ENSG00000113448	1	3: RPF,cORF,m6A	circAtlas:hsa-PDE4D_0002,circBank:hsa_circPDE4D_047,circBase:hsa_circ_0001487,CIRCpedia:HSA_CIRCpedia_52029,circRNADb:hsa_circ_16003,CSCD:chr5:58988492-58993465,exoRBase:exo_circ_000880
Condition-independent	Human	hsa_circTRAPPC13_001	hg38	chr5:65635300-65636043	+	169	NM_001365342	TRAPPC13	ENSG00000113597	1	2: RPF,cORF	circAtlas:hsa-TRAPPC13_0003,circBank:hsa_circC5orf44_001,circBase:hsa_circ_0072705,CIRCpedia:HSA_CIRCpedia_52207,CSCD:chr5:65635300-65636043,exoRBase:exo_circ_010198
Condition-independent	Human	hsa_circCCNB1_001	hg38	chr5:69174876-69175537	+	378	NM_001354845	CCNB1	ENSG00000134057	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-CCNB1_0001,circBank:hsa_circCCNB1_008,circBase:hsa_circ_0001495,CIRCpedia:HSA_CIRCpedia_52305,circRNADb:hsa_circ_29318,CSCD:chr5:69174876-69175537,exoRBase:exo_circ_000272
Condition-independent	Human	hsa_circCENPH_001	hg38	chr5:69191794-69197109	+	237	NM_022909	CENPH	ENSG00000153044	2	3: RPF,cORF,m6A	circAtlas:hsa-CENPH_0002,CIRCpedia:HSA_CIRCpedia_52306,CSCD:chr5:69191794-69197109,TSCD:chr5:69191794-69197109
Condition-independent	Human	hsa_circGTF2H2_001	hg38	chr5:71041521-71061765	-	972	NM_001364569	GTF2H2	ENSG00000145736	6	2: RPF,cORF	CSCD:chr5:71041521-71061765
Condition-independent	Human	hsa_circGUSBP16_001	hg38	chr5:71202252-71208130	-	448	NR_146391	GUSBP16	ENSG00000253366	3	2: RPF,cORF	CIRCpedia:HSA_CIRCpedia_179252
Condition-independent	Human	hsa_circFCHO2_001	hg38	chr5:73074741-73077493	+	268	NM_001146032	FCHO2	ENSG00000157107	1	2: RPF,cORF	circAtlas:hsa-FCHO2_0038,circBank:hsa_circFCHO2_044,circBase:hsa_circ_0002490,CIRCpedia:HSA_CIRCpedia_52515,circRNADb:hsa_circ_04905,CSCD:chr5:73074741-73077493,exoRBase:exo_circ_000007
Condition-independent	Human	hsa_circHMGCR_001	hg38	chr5:75343852-75344332	+	200	NM_000859	HMGCR	ENSG00000113161	1	3: RPF,cORF,MS	circAtlas:hsa-HMGCR_0005,circBank:hsa_circHMGCR_006,circBase:hsa_circ_0073035,CIRCpedia:HSA_CIRCpedia_52591,circRNADb:hsa_circ_32748,CSCD:chr5:75343852-75344332
Condition-independent	Human	hsa_circEDIL3_001	hg38	chr5:84060299-84066606	-	486	NM_001278642	EDIL3	ENSG00000164176	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-EDIL3_0001,circBank:hsa_circEDIL3_004,circBase:hsa_circ_0073244,CIRCpedia:HSA_CIRCpedia_52875,circRNADb:hsa_circ_13726,CSCD:chr5:84060299-84066606,exoRBase:exo_circ_008373
Condition-independent	Human	hsa_circRASA1_001	hg38	chr5:87331347-87338091	+	478	NM_022650	RASA1	ENSG00000145715	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-RASA1_0008,circBank:hsa_circRASA1_004,circBase:hsa_circ_0007507,CIRCpedia:HSA_CIRCpedia_52879,circRNADb:hsa_circ_23102,CSCD:chr5:87331347-87338091,exoRBase:exo_circ_000317
Condition-independent	Human	hsa_circMEF2C_001	hg38	chr5:88823734-88823927	-	193	NM_001364352	MEF2C	ENSG00000081189	2	3: RPF,cORF,m6A	circAtlas:hsa-MEF2C_0006,circBank:hsa_circMEF2C_007,circBase:hsa_circ_0129937,CIRCpedia:HSA_CIRCpedia_136665,CSCD:chr5:88823734-88823927,exoRBase:exo_circ_012671
Condition-independent	Human	hsa_circFAM172A_001	hg38	chr5:94050730-94074769	-	327	NM_032042	FAM172A	ENSG00000113391	2	2: RPF,cORF	circAtlas:hsa-FAM172A_0003,circBank:hsa_circFAM172A_002,circBase:hsa_circ_0130015,CIRCpedia:HSA_CIRCpedia_52996,CSCD:chr5:94050730-94074769,exoRBase:exo_circ_006768
Condition-independent	Human	hsa_circSLF1_001	hg38	chr5:94643272-94654752	+	724	NM_032290	SLF1	ENSG00000133302	2	4: RPF,cORF,MS,m6A	circAtlas:hsa-SLF1_0012,circBank:hsa_circANKRD32_013,circBase:hsa_circ_0130042,CIRCpedia:HSA_CIRCpedia_53018,circRNADb:hsa_circ_22046,CSCD:chr5:94643272-94654752,exoRBase:exo_circ_000577
Condition-independent	Human	hsa_circRHOBTB3_001	hg38	chr5:95755395-95763620	+	479	NM_014899	RHOBTB3	ENSG00000164292	1	3: RPF,cORF,m6A	circAtlas:hsa-RHOBTB3_0011,circBank:hsa_circRHOBTB3_020,circBase:hsa_circ_0007444,CIRCpedia:HSA_CIRCpedia_53072,circRNADb:hsa_circ_19124,exoRBase:exo_circ_000026
Condition-independent	Human	hsa_circCHD1_001	hg38	chr5:98896225-98899705	-	851	NM_001270	CHD1	ENSG00000153922	1	3: RPF,cORF,m6A	circAtlas:hsa-CHD1_0004,circBank:hsa_circCHD1_008,circBase:hsa_circ_0130109,CIRCpedia:HSA_CIRCpedia_53112,CSCD:chr5:98896225-98899705,exoRBase:exo_circ_035008,TSCD:chr5:98896225-98899705
Condition-independent	Human	hsa_circFBXL17_001	hg38	chr5:108186116-108348530	-	371	NM_001163315	FBXL17	ENSG00000145743	1	3: RPF,cORF,MS	circAtlas:hsa-FBXL17_0004,circBank:hsa_circFBXL17_012,circBase:hsa_circ_0073517,CIRCpedia:HSA_CIRCpedia_49760,circRNADb:hsa_circ_06646,CSCD:chr5:108186116-108348530
Condition-independent	Human	hsa_circFER_001	hg38	chr5:108867766-108897848	+	755	NM_001308028	FER	ENSG00000151422	1	2: RPF,cORF	circAtlas:hsa-FER_0026,circBank:hsa_circFER_015,circBase:hsa_circ_0127495,CIRCpedia:HSA_CIRCpedia_49775,circRNADb:hsa_circ_09216,CSCD:chr5:108867766-108897848,exoRBase:exo_circ_006160
Condition-independent	Human	hsa_circMAN2A1_001	hg38	chr5:109713519-109729513	+	572	NM_002372	MAN2A1	ENSG00000112893	1	2: RPF,cORF	circAtlas:hsa-MAN2A1_0001,circBank:hsa_circMAN2A1_005,circBase:hsa_circ_0001519,CIRCpedia:HSA_CIRCpedia_49797,circRNADb:hsa_circ_24011,CSCD:chr5:109713519-109729513,exoRBase:exo_circ_000479
Condition-independent	Human	hsa_circSLC25A46_001	hg38	chr5:110742046-110743787	+	101	NM_001303250	SLC25A46	ENSG00000164209	1	2: RPF,cORF	circAtlas:hsa-SLC25A46_0013,CIRCpedia:HSA_CIRCpedia_49822,CSCD:chr5:110742046-110743787
Condition-independent	Human	hsa_circDTWD2_001	hg38	chr5:118928536-118944649	-	379	NM_173666	DTWD2	ENSG00000169570	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-DTWD2_0001,circBank:hsa_circDTWD2_002,circBase:hsa_circ_0004509,CIRCpedia:HSA_CIRCpedia_49905,circRNADb:hsa_circ_03150,CSCD:chr5:118928536-118944649,exoRBase:exo_circ_012048
Condition-independent	Human	hsa_circCSNK1G3_001	hg38	chr5:123545416-123557564	+	536	NM_004384	CSNK1G3	ENSG00000151292	5	3: RPF,cORF,m6A	circAtlas:hsa-CSNK1G3_0001,circBank:hsa_circCSNK1G3_004,circBase:hsa_circ_0001522,CIRCpedia:HSA_CIRCpedia_49956,circRNADb:hsa_circ_08140,CSCD:chr5:123545416-123557564,exoRBase:exo_circ_000097
Condition-independent	Human	hsa_circLINC01184_001	hg38	chr5:127956803-128061244	-	219	NR_152804	LINC01184	ENSG00000245937	12	3: RPF,cORF,IRES	circBank:hsa_circFLJ33630_002,circBase:hsa_circ_0073756
Condition-independent	Human	hsa_circDDX46_001	hg38	chr5:134777573-134784541	+	729	NM_014829	DDX46	ENSG00000145833	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-DDX46_0052,circBank:hsa_circDDX46_002,circBase:hsa_circ_0074008,CIRCpedia:HSA_CIRCpedia_369284,CSCD:chr5:134777573-134784541,exoRBase:exo_circ_054771
Condition-independent	Human	hsa_circDDX46_002	hg38	chr5:134781132-134819004	+	2209	NM_014829	DDX46	ENSG00000145833	1	3: RPF,cORF,m6A	circAtlas:hsa-DDX46_0051,circBank:hsa_circDDX46_008,circBase:hsa_circ_0128018,CIRCpedia:HSA_CIRCpedia_164642,circRNADb:hsa_circ_02697,CSCD:chr5:134781132-134819004,TSCD:chr5:134781132-134819004
Condition-independent	Human	hsa_circTGFBI_001	hg38	chr5:136046850-136060936	+	1447	NM_000358	TGFBI	ENSG00000120708	1	3: RPF,cORF,m6A	circAtlas:hsa-TGFBI_0016,CSCD:chr5:136046850-136060936
Condition-independent	Human	hsa_circFAM13B_001	hg38	chr5:137985256-137988315	-	331	NM_016603	FAM13B	ENSG00000031003	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-FAM13B_0019,circBank:hsa_circFAM13B_024,circBase:hsa_circ_0001535,CIRCpedia:HSA_CIRCpedia_50348,circRNADb:hsa_circ_11413,CSCD:chr5:137985256-137988315,exoRBase:exo_circ_000024
Condition-independent	Human	hsa_circHSPA9_001	hg38	chr5:138568924-138571141	-	307	NM_004134	HSPA9	ENSG00000113013	1	3: RPF,cORF,MS	circAtlas:hsa-HSPA9_0006,circBank:hsa_circHSPA9_010,circBase:hsa_circ_0003280,CIRCpedia:HSA_CIRCpedia_50437,circRNADb:hsa_circ_15577,CSCD:chr5:138568924-138571141,exoRBase:exo_circ_008062
Condition-independent	Human	hsa_circCTNNA1_001	hg38	chr5:138886211-138887642	+	234	NM_001324004	CTNNA1	ENSG00000044115	1	3: RPF,cORF,m6A	circAtlas:hsa-CTNNA1_0010,circBank:hsa_circCTNNA1_012,circBase:hsa_circ_0074166,CIRCpedia:HSA_CIRCpedia_50449,circRNADb:hsa_circ_05622,CSCD:chr5:138886211-138887642,exoRBase:exo_circ_018556
Condition-independent	Human	hsa_circARHGAP26_001	hg38	chr5:143120987-143134105	+	299	NM_015071	ARHGAP26	ENSG00000145819	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-ARHGAP26_0019,CIRCpedia:HSA_CIRCpedia_355185,CSCD:chr5:143120987-143134105
Condition-independent	Human	hsa_circNR3C1_001	hg38	chr5:143399655-143400852	-	1197	NM_001018075	NR3C1	ENSG00000113580	1	4: RPF,cORF,m6A,IRES	circAtlas:hsa-NR3C1_0006,circBank:hsa_circNR3C1_002,circBase:hsa_circ_0001543,CIRCpedia:HSA_CIRCpedia_50615,circRNADb:hsa_circ_06545,CSCD:chr5:143399655-143400852,exoRBase:exo_circ_012314
Condition-independent	Human	hsa_circDPYSL3_001	hg38	chr5:147418446-147424963	-	274	NM_001387	DPYSL3	ENSG00000113657	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-DPYSL3_0051,CSCD:chr5:147418446-147424963,TSCD:chr5:147418446-147424963
Condition-independent	Human	hsa_circTCOF1_001	hg38	chr5:150374953-150379408	+	1380	NM_001135244	TCOF1	ENSG00000070814	2	3: RPF,cORF,m6A	circAtlas:hsa-TCOF1_0004,CIRCpedia:HSA_CIRCpedia_147330,CSCD:chr5:150374953-150379408
Condition-independent	Human	hsa_circSYNPO_001	hg38	chr5:150647943-150650303	+	2360	NM_007286	SYNPO	ENSG00000171992	1	4: RPF,cORF,MS,m6A	circAtlas:hsa-SYNPO_0004
Condition-independent	Human	hsa_circGALNT10_001	hg38	chr5:154294815-154329738	+	409	NM_198321	GALNT10	ENSG00000164574	1	3: RPF,cORF,m6A	circAtlas:hsa-GALNT10_0001,circBank:hsa_circGALNT10_005,circBase:hsa_circ_0003582,CIRCpedia:HSA_CIRCpedia_50872,circRNADb:hsa_circ_29715,CSCD:chr5:154294815-154329738,exoRBase:exo_circ_019824
Condition-independent	Human	hsa_circCNOT8_001	hg38	chr5:154871729-154872651	+	256	NM_001301073	CNOT8	ENSG00000155508	1	2: RPF,cORF	circAtlas:hsa-CNOT8_0005,circBank:hsa_circCNOT8_006,circBase:hsa_circ_0128396,CIRCpedia:HSA_CIRCpedia_50894,circRNADb:hsa_circ_12342,CSCD:chr5:154871729-154872651,exoRBase:exo_circ_000944
